Selected,Département - First value,Département,statut,Selected (1),Population - First value,Capacité de l’établissement par formation - Sum,statut - First value,place per habitant
No,Var,Var,public,No,1071832,5714,public,0.00533106
No,Vaucluse,Vaucluse,privée,No,566096,321,privée,0.000567042
No,Vaucluse,Vaucluse,public,No,566096,4105,public,0.00725142
No,Vendée,Vendée,privée,No,680191,2315,privée,0.00340346
No,Vendée,Vendée,public,No,680191,1627,public,0.00239198
No,Vienne,Vienne,privée,No,438136,372,privée,0.000849051
No,Vienne,Vienne,public,No,438136,13558,public,0.0309447
No,Vosges,Vosges,privée,No,364873,173,privée,0.000474138
No,Vosges,Vosges,public,No,364873,1369,public,0.00375199
No,Yonne,Yonne,privée,No,338303,119,privée,0.000351756
No,Yonne,Yonne,public,No,338303,769,public,0.00227311
No,Yvelines,Yvelines,privée,Yes,1438440,2595,privée,0.00180404
No,Yvelines,Yvelines,public,No,1438440,7615,public,0.00529393
